Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpending,Cabin_num,CryoSleep,VIP,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Transported
0.33041311184003097,0.15304016543431181,0.6778778829333447,0.8224431399844498,0.2605152866385521,-0.2734985497528206,0.6270468932536009,1.3681775533296934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2.1343208411973085,-0.33511454574178595,-0.2982067725072132,-0.11557858028757739,1.1482918870910195,9.822206066938891,4.212997413063888,-0.7617078778402188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.816080577436221,-0.33511454574178595,-0.2982067725072132,0.7513907679507567,-0.2850651352871374,0.2258337503849316,-0.07808320547294548,-0.6980103696183149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
-0.4327786198111248,-0.2134296032457152,1.5620143885895474,0.1393012462092512,0.9176596392624975,-0.2726411748099276,1.1210471646982723,1.6886556415711476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.816080577436221,0.9255980561651795,-0.26540335390115327,-0.1763892437968911,-0.280549877174242,-0.27092642492414154,-0.1873951582195146,-0.30388203749528436,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.08587328724241766,0.1063471061044242,4.672296569678881,-0.2638383170691289,-0.2823559804194002,-0.2734985497528206,2.402262310003619,-1.1737511341506597,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.9548427104637038,-0.1299480729286434,-0.2982067725072132,-0.2638383170691289,-0.2850651352871374,0.4385005232639612,-0.20172502561954514,2.3216496295263176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.08587328724241766,-0.33511454574178595,-0.2982067725072132,-0.2638383170691289,-0.2850651352871374,-0.2734985497528206,-0.5463549001712416,-0.8353581217217951,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.5385563113812553,-0.33511454574178595,-0.2982067725072132,-0.2638383170691289,-0.2850651352871374,-0.2734985497528206,-0.5463549001712416,2.1425003876522126,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.7466995109224795,0.9787981246841725,-0.2982067725072132,0.7185973654736675,2.9631841027521926,-0.2734985497528206,1.3065869458763497,-0.9647436852975375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
