,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,0.0,34.0,0.0,345.0,1577.0455927051687,795.0,604.151975683891,0.0,True,1277.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
1,0.0,60.0,0.0,0.0,0.0,108.50455927051686,1587.237082066869,11775.133738601939,False,207.0,False,True,False,False,False,True,False,False,False,False,0,False,True,False,True,False
2,0.0,41.0,0.0,0.0,0.0,743.0,0.0,582.3966565349543,True,239.0,False,False,True,False,False,False,False,True,False,False,0,False,True,False,False,True
3,0.0,23.0,0.0,86.0,3005.5319148936187,295.0395136778113,1331.844984802432,1.0,False,1438.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
4,0.0,41.0,0.0,891.0,53.0,64.0,5.0,3.0,False,437.0,True,False,False,False,False,False,False,True,False,False,0,True,False,False,False,True
5,0.0,28.0,0.0,312.0,8030.768996960485,0.0,3.0,0.0,True,0.0,False,True,False,False,False,True,False,False,False,False,0,True,False,False,False,True
6,0.0,43.0,0.0,145.0,0.0,0.0,0.0,830.440729483283,False,1756.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
7,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,170.0,False,False,True,False,False,False,False,True,False,False,0,True,False,False,True,False
8,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1666.0,False,False,True,False,False,False,False,False,True,False,0,True,False,False,False,True
9,0.0,40.0,0.0,928.5987841945287,0.0,719.0,3596.9696048632177,0.0,False,105.0,False,True,False,False,True,False,False,False,False,False,0,True,False,False,False,True
10,0.0,24.0,0.0,1474.9468085106405,0.0,68.17781155015226,318.3586626139824,0.0,False,272.0,True,False,False,False,False,False,False,False,True,False,0,False,True,False,False,True
11,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,304.0,False,True,False,False,True,False,False,False,False,False,0,False,True,False,False,True
12,0.0,27.0,0.0,1045.744680851063,6872.945288753818,1338.3069908814605,0.0,0.0,True,158.0,False,True,False,False,False,True,False,False,False,False,0,True,False,True,False,False
13,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1059.0,True,False,False,False,False,False,False,False,False,True,0,False,True,False,False,True
14,0.0,30.0,0.0,1366.9027355623105,0.0,1870.9042553191484,685.0,0.0,False,371.0,False,False,True,False,False,False,True,False,False,False,0,False,True,False,False,True
15,0.0,34.0,0.0,941.592705167173,144.82978723404253,4885.55015197569,110.0,3219.668693009118,False,162.0,False,True,False,False,False,True,False,False,False,False,0,True,False,False,False,True
16,0.0,48.0,0.0,792.8267477203651,21.0,260.3647416413372,509.60790273556205,0.0,True,226.0,True,False,False,False,False,False,False,True,False,False,0,False,True,False,False,True
17,0.0,45.0,0.0,0.0,0.0,4315.346504559273,2.0,0.0,True,964.0,False,False,True,False,False,False,False,False,True,False,0,True,False,False,False,True
18,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1651.0,False,False,True,False,False,False,False,False,True,False,0,True,False,False,False,True
19,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,11.0,False,True,False,False,False,True,False,False,False,False,0,True,False,False,False,True
20,0.0,22.0,0.0,1146.0,0.0,0.0,2.0,854.0516717325225,False,364.0,False,False,True,False,False,False,False,True,False,False,0,True,False,False,False,True
21,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,True,375.0,False,True,False,False,True,False,False,False,False,False,0,True,False,True,False,False
22,0.0,48.0,0.0,1.0,0.0,77.0,2118.689969604864,34.0,False,292.0,False,True,False,False,True,False,False,False,False,False,0,True,False,False,False,True
23,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False,803.0,True,False,False,False,False,False,False,False,False,True,0,True,False,False,False,True
24,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,False,255.0,False,True,False,False,True,False,False,False,False,False,0,True,False,True,False,False
25,0.0,19.0,0.0,0.0,1891.0,2.0,122.95592705167178,0.0,True,289.0,False,True,False,False,True,False,False,False,False,False,0,True,False,False,False,True
26,0.0,40.0,0.0,0.0,0.0,636.5562310030399,4476.0,50.306990881458944,False,297.0,False,True,False,False,True,False,False,False,False,False,0,False,True,False,False,True
27,0.0,28.0,1.0,0.0,538.4832826747722,0.0,334.0,0.0,False,225.0,False,True,False,False,False,True,False,False,False,False,0,False,True,False,False,True
28,0.0,53.0,0.0,105.0,1.0,55.0,484.6063829787236,9.0,True,1582.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
29,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,False,168.0,False,False,True,False,False,False,False,True,False,False,0,True,False,False,True,False
30,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,True,231.0,False,True,False,True,False,False,False,False,False,False,0,False,True,False,False,True
31,0.0,0.0,0.0,701.0,0.0,0.0,0.0,2055.4711246200613,False,1330.0,True,False,False,False,False,False,False,False,False,True,0,False,True,False,True,False
32,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,True,247.0,False,True,False,False,True,False,False,False,False,False,0,True,False,False,False,True
33,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,726.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
34,0.0,19.0,0.0,40.0,0.0,0.0,9.0,16.0,False,697.0,True,False,False,False,False,False,False,False,False,True,0,False,True,False,True,False
35,0.0,53.0,0.0,431.27355623100294,679.0,0.0,661.3373860182376,0.0,False,521.0,True,False,False,False,False,False,False,False,True,False,0,True,False,False,False,True
36,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1359.0,True,False,False,False,False,False,False,False,False,True,0,False,True,False,False,True
37,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321.0,True,False,False,False,False,False,False,False,False,True,0,False,True,False,True,False
38,0.0,42.0,0.0,1901.7446808510674,874.1823708206691,50.0,344.0,0.0,False,1289.0,True,False,False,False,False,False,False,False,True,False,0,False,True,False,False,True
39,0.0,25.0,0.0,0.0,1764.4407294832845,0.0,26.0,34.0,False,0.0,True,False,False,False,False,False,False,True,False,False,0,True,False,False,False,True
40,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1192.0,True,False,False,False,False,False,False,False,False,True,0,True,False,False,False,True
41,0.0,50.0,0.0,524.2401215805469,0.0,1379.9787234042572,0.0,3.0,False,259.0,True,False,False,False,False,False,True,False,False,False,0,True,False,False,False,True
42,0.0,55.0,1.0,12.0,680.1185410334346,0.0,868.981762917933,442.6534954407292,False,75.0,False,True,False,False,False,True,False,False,False,False,0,True,False,True,False,False
43,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1414.0,False,False,True,False,False,False,False,False,True,False,0,True,False,False,False,True
44,0.0,48.0,0.0,188.60182370820675,0.0,42.0,614.9392097264443,1.0,False,958.0,True,False,False,False,False,False,False,False,False,True,0,True,False,True,False,False
45,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True,93.0,True,False,False,False,False,False,False,False,False,True,0,True,False,False,False,True
